# Localizations for unrecognized nations
# Localizations are of this form:
#   * unrecognized_<region>
# If no localization is found, the final localization will be "$unrecognized$ $REGION$"
#

####;EN;FR;DE;PL;ES;IT;SW;CZ;HU;NL;PT;RU;FI;x
unrecognized_name;Unrecognized;Mйconnue;Unerkannt;Nierozpoznany;Poco Reconocido;Non Riconosciuto;Okдnd;Nerozpoznбno;Ismeretlen;Niet Herkend;Nгo Reconhecido;Неопознанн;Tunnistamaton;x
unrecognized_adjective;Unrecognized;Mйconnue;Unerkannt;Nierozpoznany;Poco Reconocido;Non Riconosciuto;Okдnd;Nerozpoznбno;Ismeretlen;Niet Herkend;Nгo Reconhecido;Неопознанн;Tunnistamaton;x
unrecognized_canada;Unrecognized Canada;Canada Mйconnue;Unerkanntes Kanada;Nierozpoznanya Kanada;Canadб Poco Reconocido;Canada Non Riconosciuto;;;;;Canadб Nгo Reconhecido;Неопознанная Канада;;x
unrecognized_california;Unrecognized California;Californie Mйconnue;Unerkanntes Kalifornien;Nierozpoznanya Kalifornia;California Poco Reconocido;California Non Riconosciuto;;;;;Califуrnia Nгo Reconhecido;Неопознанная Калифорния;;x
unrecognized_us_central;Unrecognized Louisiana;Louisiane Mйconnue;Unerkanntes Louisiana;Nierozpoznanya Luizjana;Luisiana Poco Reconocido;Luisiana Non Riconosciuto;;;;;Louisiana Nгo Reconhecido;Неопознанная Луизиана;;x
unrecognized_us_north_east;Unrecognized Thirteen Colonies;Treize Colonies Mйconnues;Unerkannte Dreizehn Kolonien;Nierozpoznanyie Trzynaњcie Kolonii;Las Trece Colonias Poco Reconocidos;Tredici Colonie Non Riconosciuto;;;;;Treze Colфnias Nгo Reconhecidos;Неопознанние Тринадцать Колоний;;x
unrecognized_dixieland;Unrecognized Dixia;Dixie Mйconnue;Unerkanntes Dixien;Nierozpoznanyi Dixia;Dixia Poco Reconocido;Dixia Non Riconosciuto;;;;;Dixia Nгo Reconhecido;Неопознанная Диксия;;x
unrecognized_britain;Unrecognized Britain;Bretagne Mйconnue;Unerkanntes GroЯbritannien;Nierozpoznanya Brytania;Bretaсa Poco Reconocido;Bretagna Non Riconosciuto;;;;;Grг-Bretanha Nгo Reconhecido;Неопознанная Британия;;x
unrecognized_scandinavia;Unrecognized Scandinavia;Scandinavie Mйconnue;Unerkanntes Skandinavien;Nierozpoznanya Skandynawia;Escandinavia Poco Reconocido;Scandinavia Non Riconosciuto;;;;;Escandinбvia Nгo Reconhecido;Неопознанная Скандинавия;;x
unrecognized_baltic;Unrecognized Baltic;La Baltique Mйconnue;Die Unerkannte Ostsee;Nierozpoznanyi Baіtyk;El Bбltico Poco Reconocido;Baltico Non Riconosciuto;;;;;O Bбltico Nгo Reconhecido;Неопознанная Прибалтика;;x
unrecognized_dutchland;Unrecognized Netherlands;Les Pays-Bas Mйconnue;Unerkannte Niederlande;Nierozpoznanyie Niderlandy;Paнses Bajos Poco Reconocidos;Paesi Bassi Non Riconosciuto;;;;;Holanda Nгo Reconhecido;Неопознанние Нидерланды;;x
unrecognized_france;Unrecognized France;France Mйconnue;Unerkanntes Frankreich;Nierozpoznanya Francja;Francia Poco Reconocido;Francia Non Riconosciuto;;;;;Franзa Nгo Reconhecido;Неопознанний Франция;;x
unrecognized_iberia;Unrecognized Iberia;Ibйrie Mйconnue;Unerkanntes Iberia;Nierozpoznanya Iberia;Iberia Poco Reconocido;Iberia Non Riconosciuto;;;;;Iberia Nгo Reconhecido;Неопознанная Иберия;;x
unrecognized_germany;Unrecognized Germany;Allemagne Mйconnue;Unerkanntes Deutschland;Nierozpoznanyie Niemcy;Alemania Poco Reconocido;Germania Non Riconosciuto;;;;;Alemanha Nгo Reconhecido;Неопознанная Германия;;x
unrecognized_austria;Unrecognized Mitteleuropa;Mitteleurope Mйconnue;Unerkanntes Mitteleuropa;Nierozpoznanyi Mitteleuropa;Mitteleuropa Poco Reconocido;Mitteleuropa Non Riconosciuto;;;;;Mitteleuropa Nгo Reconhecido;Неопознанний Миттелевропа;;x
unrecognized_hungary;Unrecognized Pannonia;Pannonie Mйconnue;Unerkanntes Pannonien;Nierozpoznanya Panonia;Panonia Poco Reconocido;Pannonia Non Riconosciuto;;;;;Panфnia Nгo Reconhecido;Неопознанная Паннония;;x
unrecognized_romania;Unrecognized Wallachia;Valachie Mйconnue;Unerkannte Walachei;Nierozpoznanya Woіoszczyzna;Valaquia Poco Reconocido;Valacchia Non Riconosciuto;;;;;Wallachia Nгo Reconhecido;Неопознанная Валахия;;x
unrecognized_poland;Unrecognized Poland;Pologne Mйconnue;Unerkanntes Polen;Nierozpoznanya Polska;Polonia Poco Reconocido;Polonia Non Riconosciuto;;;;;Polфnia Nгo Reconhecido;Неопознанная Польша;;x
unrecognized_italy;Unrecognized Italy;Italie Mйconnue;Unerkanntes Italien;Nierozpoznanyie Wіochy;Italia Poco Reconocido;Italia Non Riconosciuto;;;;;Itбlia Nгo Reconhecido;Неопознанная Италия;;x
unrecognized_yugoslavia;Unrecognized Balkans;Les Balkans Mйconnue;Der Unerkannte Balkan;Nierozpoznanyie Balkany;Los Balcanes Poco Reconocidos;Balcani Non Riconosciuto;;;;;Os Balcгs Nгo Reconhecidos;Неопознанние Балканы;;x
unrecognized_bulgaria;Unrecognized Bulgaria;Bulgarie Mйconnue;Unerkanntes Bulgarien;Nierozpoznanyi Buіgaria;Bulgaria Poco Reconocido;Bulgaria Non Riconosciuto;;;;;Bulgбria Nгo Reconhecido;Неопознанная Болгария;;x
unrecognized_greece;Unrecognized Greece;Grиce Mйconnue;Unerkanntes Griechenland;Nierozpoznanya Grecja;Grecia Poco Reconocido;Grecia Non Riconosciuto;;;;;Grйcia Nгo Reconhecido;Неопознанная Греция;;x
unrecognized_turkey;Unrecognized Anatolia;Anatolie Mйconnue;Unerkanntes Anatolien;Nierozpoznanya Anatolia;Anatolia Poco Reconocido;Anatolia Non Riconosciuto;;;;;Anatуlia Nгo Reconhecido;Неопознанная Анатолия;;x
unrecognized_levant;Unrecognized Levant;Le Levant Mйconnue;Die Unerkannte Levante;Nierozpoznanyi Lewant;El Levante Poco Reconocido;Levante Non Riconosciuto;;;;;O Levante Nгo Reconhecido;Неопознанний Левант;;x
unrecognized_iraq;Unrecognized Mesopotamia;Mйsopotamie Mйconnue;Unerkanntes Mesopotamien;Nierozpoznanya Mezopotamia;Mesopotamia Poco Reconocido;Mesopotamia Non Riconosciuto;;;;;Mesopotвmia Nгo Reconhecido;Неопознанная Месопотамия;;x
unrecognized_belarus;Unrecognized Byelorrussia;Biйlorussie Mйconnue;Unerkanntes WeiЯrussland;Nierozpoznanya Biaіoruњ;Bielorrusia Poco Reconocido;Bielorussia Non Riconosciuto;;;;;Bielorrъssia Nгo Reconhecido;Неопознанная Белоруссия;;x
unrecognized_ukraine;Unrecognized Malarussia;Malarussie Mйconnue;Unerkanntes Kleinrussland;Nierozpoznanya Malaruњ;Malorrusia Poco Reconocido;Malorussia Non Riconosciuto;;;;;Malarrъssia Nгo Reconhecido;Неопознанная Малоруссия;;x
unrecognized_russia;Unrecognized Russia;Russie Mйconnue;Unerkanntes Russland;Nierozpoznanya Rosja;Rusia Poco Reconocido;Russia Non Riconosciuto;;;;;Rъssia Nгo Reconhecido;Неопознанная Россия;;x
unrecognized_siberia;Unrecognized Siberia;Sibйrie Mйconnue;Unerkanntes Sibirien;Nierozpoznanya Syberia;Siberia Poco Reconocido;Siberia Non Riconosciuto;;;;;Sibйria Nгo Reconhecido;Неопознанная Сибирь;;x
unrecognized_transcaucasia;Unrecognized Transcaucasia;Transcaucasie Mйconnue;Unerkanntes Transkaukasien;Nierozpoznanyie Zakaukazie;Transcaucasia Poco Reconocido;Transcaucasia Non Riconosciuto;;;;;Transcaucбsia Nгo Reconhecido;Неопознанное Закавказье;;x
unrecognized_persia;Unrecognized Persia;Perse Mйconnue;Unerkanntes Persien;Nierozpoznanya Persja;Persia Poco Reconocido;Persia Non Riconosciuto;;;;;Pйrsia Nгo Reconhecido;Неопознанная Персия;;x
unrecognized_arabia;Unrecognized Arabia;Arabie Mйconnue;Unerkanntes Arabien;Nierozpoznanya Arabia;Arabia Poco Reconocido;Arabia Non Riconosciuto;;;;;Arбbia Nгo Reconhecido;Неопознанная Аравия;;x
unrecognized_central_asia;Unrecognized Central Asia;Asie Centrale Mйconnue;Unerkanntes Zentralasien;Nierozpoznanya Azja Њrodkowa;Asia Central Poco Reconocido;Asia Centrale Non Riconosciuto;;;;;Бsia Central Nгo Reconhecido;Неопознанная Центральная Азия;;x
unrecognized_south_asia;Unrecognized Raj;Le Raj Mйconnue;Das Unerkannte Raj;Nierozpoznanyi Raj;El Raj Poco Reconocido;Raj Non Riconosciuto;;;;;O Raj Nгo Reconhecido;Неопознанний Радж;;x
unrecognized_burma;Unrecognized Burma;Birmanie Mйconnue;Unerkanntes Birma;Nierozpoznanya Birma;Birmania Poco Reconocido;Birmania Non Riconosciuto;;;;;Birmвnia Nгo Reconhecido;Неопознанная Бирма;;x
unrecognized_siam;Unrecognized Siam;Siam Mйconnue;Unerkanntes Siam;Nierozpoznanyi Syjam;Siam Poco Reconocido;Siam Non Riconosciuto;;;;;Siгo Nгo Reconhecido;Неопознанний Сиам;;x
unrecognized_indochina;Unrecognized Indochina;Indochine Mйconnue;Unerkanntes Indochina;Nierozpoznanyie Indochiny;Indochina Poco Reconocido;Indocina Non Riconosciuto;;;;;Indochina Nгo Reconhecido;Неопознанний Индокитай;;x
unrecognized_malaysia;Unrecognized Malaysia;Malaisie Mйconnue;Unerkanntes Malaysia;Nierozpoznanya Malezja;Malasia Poco Reconocido;Malesia Non Riconosciuto;;;;;Malбsia Nгo Reconhecido;Неопознанная Малайзия;;x
